z(cm)	  Dose(mGy)	(O14)Con.	(C10)Con.	(N13)Con.	(C11)Con.	(O15)Con.	tot.con.(1/cm3)
 24.1	 5.785e-02	   100.94	    16.01	     4.55	    15.31	     4.27	  141.17
 24.2	 5.925e-02	   108.35	    12.67	     3.85	    13.18	     4.33	  142.51
 24.3	 6.078e-02	   113.16	    12.06	     4.97	    12.80	     3.85	  146.96
 24.4	 6.246e-02	   114.85	    11.75	     5.67	    13.02	     2.58	  147.89
 24.5	 6.439e-02	   114.50	    11.49	     5.19	    12.45	     2.45	  146.07
 24.6	 6.656e-02	   115.99	    10.82	     5.67	    12.54	     2.07	  147.19
 24.7	 6.903e-02	   122.14	     8.21	     5.44	    10.92	     0.99	  147.73
 24.8	 7.187e-02	   123.09	     7.51	     4.55	    10.22	     1.11	  146.65
 24.9	 7.518e-02	   127.39	     5.95	     5.16	     7.99	     0.80	  147.50
 25.0	 7.910e-02	   121.05	     4.17	     4.84	     9.33	     0.19	  139.64
 25.1	 8.383e-02	   122.04	     3.60	     3.69	     6.59	     0.32	  136.30
 25.2	 8.947e-02	   115.01	     2.23	     3.34	     5.22	     0.22	  126.18
 25.3	 9.600e-02	   102.91	     1.21	     2.55	     4.62	     0.06	  111.47
 25.4	 1.030e-01	    87.50	     0.86	     1.62	     5.28	     0.13	   95.65
 25.5	 1.092e-01	    68.85	     0.70	     0.92	     4.17	     0.10	   75.03
 25.6	 1.128e-01	    50.07	     0.73	     0.70	     3.92	     0.03	   55.74
 25.7	 1.112e-01	    35.05	     0.51	     0.32	     3.79	     0.03	   39.98
 25.8	 1.028e-01	    21.29	     0.41	     0.25	     2.71	     0.03	   24.92
 25.9	 8.755e-02	    13.91	     0.54	     0.13	     2.20	     0.10	   17.03
 26.0	 6.751e-02	     8.05	     0.48	     0.10	     0.64	     0.03	    9.36
 26.1	 4.664e-02	     4.62	     0.67	     0.10	     0.60	     0.19	    6.30
 26.2	 2.858e-02	     3.02	     0.48	     0.00	     0.41	     0.16	    4.14
 26.3	 1.532e-02	     2.74	     0.54	     0.00	     0.32	     0.13	    3.72
 26.4	 7.203e-03	     2.61	     0.67	     0.00	     0.19	     0.00	    3.47
 26.5	 2.994e-03	     2.29	     0.54	     0.00	     0.25	     0.06	    3.15
 26.6	 1.144e-03	     2.23	     0.29	     0.03	     0.22	     0.10	    2.86
 26.7	 4.562e-04	     2.07	     0.51	     0.10	     0.06	     0.03	    2.77
 26.8	 2.524e-04	     2.48	     0.73	     0.03	     0.22	     0.10	    3.57
 26.9	 2.026e-04	     2.23	     0.57	     0.03	     0.19	     0.03	    3.06
 27.0	 1.841e-04	     1.53	     0.64	     0.00	     0.16	     0.03	    2.36
 27.1	 1.850e-04	     1.91	     0.57	     0.00	     0.22	     0.06	    2.77
 27.2	 1.817e-04	     2.45	     0.57	     0.00	     0.16	     0.16	    3.34
 27.3	 1.862e-04	     2.20	     0.45	     0.03	     0.22	     0.03	    2.93
 27.4	 1.816e-04	     1.81	     0.51	     0.16	     0.13	     0.03	    2.64
 27.5	 1.812e-04	     2.39	     0.45	     0.03	     0.22	     0.32	    3.41
 27.6	 1.806e-04	     1.75	     0.32	     0.03	     0.29	     0.13	    2.51
 27.7	 1.784e-04	     2.55	     0.41	     0.10	     0.10	     0.00	    3.15
 27.8	 1.751e-04	     2.16	     0.41	     0.00	     0.25	     0.10	    2.93
 27.9	 1.738e-04	     2.07	     0.22	     0.13	     0.25	     0.03	    2.71
